2026-01-21 11:09:05 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 11:59:05 | INFO     | httpx                | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-21 11:59:05 | INFO     | cv_formatter.llm.tagger | OpenAI Usage: 913 tokens (In: 821, Out: 92). Est. Cost: $0.000178
2026-01-21 11:59:05 | INFO     | cv_formatter.main    | Step 4: Formatting Final JSON...
2026-01-21 11:59:05 | INFO     | cv_formatter.main    | Pipeline Completed Successfully.
2026-01-21 12:00:04 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:00:15 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:02:42 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:02:42 | INFO     | cv_formatter.main    | Starting CV Processing Pipeline
2026-01-21 12:02:42 | INFO     | cv_formatter.main    | Step 1: ETL Cleaning...
2026-01-21 12:02:42 | INFO     | cv_formatter.main    | Step 2: Section Extraction...
2026-01-21 12:02:42 | INFO     | cv_formatter.main    | Sections found: ['raw_content']
2026-01-21 12:02:42 | WARNING  | cv_formatter.main    | No specific sections identified. Using raw content for LLM.
2026-01-21 12:02:42 | INFO     | cv_formatter.main    | Step 3: LLM Tagging & Analysis (OpenAI)...
2026-01-21 12:02:44 | INFO     | cv_formatter.llm.tagger | Preparing to send ~187 input tokens to gpt-4o-mini
2026-01-21 12:02:47 | INFO     | httpx                | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-21 12:02:47 | INFO     | cv_formatter.llm.tagger | OpenAI Usage: 855 tokens (In: 798, Out: 57). Est. Cost: $0.000154
2026-01-21 12:02:47 | INFO     | cv_formatter.main    | Step 4: Formatting Final JSON...
2026-01-21 12:02:47 | INFO     | cv_formatter.main    | Pipeline Completed Successfully.
2026-01-21 12:04:09 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:04:22 | INFO     | cv_formatter.main    | Starting CV Processing Pipeline
2026-01-21 12:04:22 | INFO     | cv_formatter.main    | Step 1: ETL Cleaning...
2026-01-21 12:04:22 | INFO     | cv_formatter.main    | Step 2: Section Extraction...
2026-01-21 12:04:22 | INFO     | cv_formatter.main    | Sections found: ['header_info', 'experience', 'education', 'certifications', 'skills']
2026-01-21 12:04:22 | INFO     | cv_formatter.main    | Step 3: LLM Tagging & Analysis (OpenAI)...
2026-01-21 12:04:23 | INFO     | cv_formatter.llm.tagger | Preparing to send ~1222 input tokens to gpt-4o-mini
2026-01-21 12:05:04 | INFO     | httpx                | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-21 12:05:04 | INFO     | cv_formatter.llm.tagger | OpenAI Usage: 3104 tokens (In: 1833, Out: 1271). Est. Cost: $0.001038
2026-01-21 12:05:04 | INFO     | cv_formatter.main    | Step 4: Formatting Final JSON...
2026-01-21 12:05:04 | INFO     | cv_formatter.main    | Pipeline Completed Successfully.
2026-01-21 12:24:36 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:24:36 | INFO     | cv_formatter.main    | Starting CV Processing Pipeline
2026-01-21 12:24:36 | INFO     | cv_formatter.main    | Step 1: ETL Cleaning...
2026-01-21 12:24:36 | INFO     | cv_formatter.main    | Step 2: Section Extraction...
2026-01-21 12:24:36 | INFO     | cv_formatter.main    | Sections found: ['raw_content']
2026-01-21 12:24:36 | WARNING  | cv_formatter.main    | No specific sections identified. Using raw content for LLM.
2026-01-21 12:24:36 | INFO     | cv_formatter.main    | Step 3: LLM Tagging & Analysis (OpenAI)...
2026-01-21 12:24:42 | INFO     | cv_formatter.llm.tagger | Preparing to send ~311 input tokens to inference-net/schematron-8b
2026-01-21 12:24:45 | INFO     | httpx                | HTTP Request: POST https://api.inference.net/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-21 12:24:45 | INFO     | cv_formatter.llm.tagger | OpenAI Usage: 658 tokens (In: 551, Out: 107). Est. Cost: $0.000147
2026-01-21 12:24:45 | INFO     | cv_formatter.main    | Step 4: Formatting Final JSON...
2026-01-21 12:24:45 | INFO     | cv_formatter.main    | Pipeline Completed Successfully.
2026-01-21 12:36:10 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:37:13 | INFO     | root                 | Logging initialized. Writing to: logs/cv_processing_2026-01-21.log
2026-01-21 12:37:29 | INFO     | cv_formatter.main    | Step 1: ETL Cleaning...
2026-01-21 12:37:29 | ERROR    | cv_formatter.main    | Pipeline Failed: name 'logger' is not defined
